model,ece,overconfidence,max_class_acc,mean_conf,top10_n_top_decile,top10_frac_contrarian,top10_frac_in_news,top10_mean_abs_sent
LSTM,0.1082,0.1055,0.4097,0.5152,611,0.2193,0.6236,0.3632
Transformer,0.0962,0.096,0.3994,0.4954,574,0.2491,0.6794,0.3406
