symbol,timestamp,raw_pred_num,raw_pred,confidence,prob_sell,prob_hold,prob_buy,open,high,low,close,volume,news_count,sentiment_score,fused_signal,was_overridden,override_reason,model
NVDA,2025-01-07 00:00:00+00:00,2,BUY,0.43055916,0.32624668,0.2431942,0.43055916,150.28,150.48,150.15,150.2802,652435.0,0,0.0,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-01-07 09:00:00+00:00,2,BUY,0.4424676,0.3306087,0.22692372,0.4424676,150.47,152.13,146.45,151.49,1493885.0,0,0.0,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-01-07 10:00:00+00:00,2,BUY,0.40743497,0.37546328,0.2171017,0.40743497,151.48,152.29,151.3,152.27,688489.0,2,0.2786552011966705,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-01-07 11:00:00+00:00,2,BUY,0.4400231,0.3479682,0.21200874,0.4400231,152.27,152.57,151.95,152.4,1036537.0,2,0.8305646181106567,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-01-07 12:00:00+00:00,2,BUY,0.4434748,0.34837157,0.20815359,0.4434748,152.4,153.66,152.06,153.11,2698582.0,3,0.8437319993972778,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-01-07 13:00:00+00:00,2,BUY,0.45730528,0.34945163,0.19324303,0.45730528,152.35,153.66,148.01,152.9799,6184781.0,4,0.9273589253425598,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-01-07 14:00:00+00:00,2,BUY,0.41659746,0.39148623,0.19191639,0.41659746,152.98,153.74,145.59,146.26,61838949.0,2,0.7886556386947632,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-01-07 15:00:00+00:00,2,BUY,0.45636052,0.28571337,0.25792617,0.45636052,146.23,146.49,140.44,142.695,92664046.0,5,-0.279913067817688,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-01-07 16:00:00+00:00,2,BUY,0.43051198,0.3429306,0.22655742,0.43051198,142.7112,143.11,141.0,141.675,49809571.0,3,0.8546072244644165,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-01-07 17:00:00+00:00,2,BUY,0.3681228,0.34822464,0.28365266,0.3681228,141.68,142.3,141.12,142.27,22795306.0,3,0.8327867984771729,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-01-07 18:00:00+00:00,0,SELL,0.36150986,0.36150986,0.32708806,0.31140202,142.2602,143.45,141.91,142.0399,22033783.0,2,-0.9437656998634338,SELL,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-01-07 19:00:00+00:00,0,SELL,0.39255178,0.39255178,0.265146,0.34230217,142.035,142.53,141.08,141.25,18749714.0,1,-0.9602789878845216,SELL,False,deep_fusion,SENTIMENTLSTM
