symbol,timestamp,raw_pred_num,raw_pred,confidence,prob_sell,prob_hold,prob_buy,open,high,low,close,volume,news_count,sentiment_score,fused_signal,was_overridden,override_reason,model
NVDA,2025-01-07 00:00:00+00:00,2,BUY,0.33977333,0.323958,0.33626866,0.33977333,150.28,150.48,150.15,150.2802,652435.0,0,0.0,BUY,False,deep_fusion,CROSSMODAL
NVDA,2025-01-07 09:00:00+00:00,2,BUY,0.34011266,0.3244827,0.3354046,0.34011266,150.47,152.13,146.45,151.49,1493885.0,0,0.0,BUY,False,deep_fusion,CROSSMODAL
NVDA,2025-01-07 10:00:00+00:00,2,BUY,0.33874953,0.32651627,0.3347341,0.33874953,151.48,152.29,151.3,152.27,688489.0,2,0.2786552011966705,BUY,False,deep_fusion,CROSSMODAL
NVDA,2025-01-07 11:00:00+00:00,2,BUY,0.33844492,0.32560414,0.33595085,0.33844492,152.27,152.57,151.95,152.4,1036537.0,2,0.8305646181106567,BUY,False,deep_fusion,CROSSMODAL
NVDA,2025-01-07 12:00:00+00:00,2,BUY,0.33836487,0.32517385,0.3364613,0.33836487,152.4,153.66,152.06,153.11,2698582.0,3,0.8437319993972778,BUY,False,deep_fusion,CROSSMODAL
NVDA,2025-01-07 13:00:00+00:00,1,HOLD,0.34033194,0.32250956,0.34033194,0.33715853,152.35,153.66,148.01,152.9799,6184781.0,4,0.9273589253425598,HOLD,False,deep_fusion,CROSSMODAL
NVDA,2025-01-07 14:00:00+00:00,1,HOLD,0.33867532,0.32277608,0.33867532,0.33854854,152.98,153.74,145.59,146.26,61838949.0,2,0.7886556386947632,HOLD,False,deep_fusion,CROSSMODAL
NVDA,2025-01-07 15:00:00+00:00,1,HOLD,0.34010896,0.32221538,0.34010896,0.3376757,146.23,146.49,140.44,142.695,92664046.0,5,-0.279913067817688,HOLD,False,deep_fusion,CROSSMODAL
NVDA,2025-01-07 16:00:00+00:00,1,HOLD,0.33881912,0.3246427,0.33881912,0.33653814,142.7112,143.11,141.0,141.675,49809571.0,3,0.8546072244644165,HOLD,False,deep_fusion,CROSSMODAL
NVDA,2025-01-07 17:00:00+00:00,1,HOLD,0.33637702,0.32728988,0.33637702,0.33633307,141.68,142.3,141.12,142.27,22795306.0,3,0.8327867984771729,HOLD,False,deep_fusion,CROSSMODAL
NVDA,2025-01-07 18:00:00+00:00,2,BUY,0.33825976,0.3308363,0.33090392,0.33825976,142.2602,143.45,141.91,142.0399,22033783.0,2,-0.9437656998634338,BUY,False,deep_fusion,CROSSMODAL
NVDA,2025-01-07 19:00:00+00:00,2,BUY,0.33948463,0.3334284,0.327087,0.33948463,142.035,142.53,141.08,141.25,18749714.0,1,-0.9602789878845216,BUY,False,deep_fusion,CROSSMODAL
NVDA,2025-01-07 20:00:00+00:00,2,BUY,0.34239513,0.33405933,0.32354555,0.34239513,141.26,141.58,140.01,140.12,41185725.0,2,-0.9672793745994568,BUY,False,deep_fusion,CROSSMODAL
