model,n_blocked,mean_pnl_pct,median_pnl_pct,win_rate_pct,total_pnl_pct
LSTM,1174,-0.0087,-0.006,48.4668,-10.1721
Transformer,1190,-0.0244,-0.0187,47.395,-29.0904
