model,ece,overconf,accuracy,mean_conf,buy%,sell%,hold%
CrossModalTransformer,0.0029,0.0029,0.3665,0.3694,29.0,34.1,36.8
SentimentLSTM,0.09,0.09,0.3533,0.4433,30.3,14.4,55.3
