symbol,timestamp,raw_pred_num,raw_pred,confidence,prob_sell,prob_hold,prob_buy,close,open,high,low,volume,news_count,sentiment_score,sentiment_positive,sentiment_negative,fused_signal,override_reason,was_overridden,model
NVDA,2025-01-07 00:00:00+00:00,2,BUY,0.45099297,0.4108554,0.13815159,0.45099297,150.2802,150.28,150.48,150.15,652435.0,0,0.0,0.0,0.0,BUY,none,False,TRANSFORMER
NVDA,2025-01-07 09:00:00+00:00,2,BUY,0.43587074,0.4018431,0.16228615,0.43587074,151.49,150.47,152.13,146.45,1493885.0,0,0.0,0.0,0.0,BUY,none,False,TRANSFORMER
NVDA,2025-01-07 10:00:00+00:00,2,BUY,0.4398634,0.4120258,0.14811076,0.4398634,152.27,151.48,152.29,151.3,688489.0,2,0.2786552011966705,0.287973016500473,0.0093178255483508,BUY,none,False,TRANSFORMER
NVDA,2025-01-07 11:00:00+00:00,2,BUY,0.43610713,0.40190825,0.16198458,0.43610713,152.4,152.27,152.57,151.95,1036537.0,2,0.8305646181106567,0.901274025440216,0.0707094147801399,BUY,none,False,TRANSFORMER
NVDA,2025-01-07 12:00:00+00:00,2,BUY,0.46871123,0.4493742,0.08191461,0.46871123,153.11,152.4,153.66,152.06,2698582.0,3,0.8437319993972778,0.8506462574005127,0.0069142472930252,BUY,none,False,TRANSFORMER
NVDA,2025-01-07 13:00:00+00:00,2,BUY,0.4779374,0.47418123,0.047881406,0.4779374,152.9799,152.35,153.66,148.01,6184781.0,4,0.9273589253425598,0.938161551952362,0.0108026377856731,BUY,none,False,TRANSFORMER
NVDA,2025-01-07 14:00:00+00:00,2,BUY,0.48112997,0.47754222,0.041327856,0.48112997,146.26,152.98,153.74,145.59,61838949.0,2,0.7886556386947632,0.7994655966758728,0.0108099421486258,BUY,none,False,TRANSFORMER
NVDA,2025-01-07 15:00:00+00:00,2,BUY,0.4905207,0.46934906,0.040130336,0.4905207,142.695,146.23,146.49,140.44,92664046.0,5,-0.279913067817688,0.3207123875617981,0.6006254553794861,BUY,none,False,TRANSFORMER
NVDA,2025-01-07 16:00:00+00:00,2,BUY,0.49749562,0.4646323,0.037872028,0.49749562,141.675,142.7112,143.11,141.0,49809571.0,3,0.8546072244644165,0.8991111516952515,0.044503916054964,BUY,none,False,TRANSFORMER
NVDA,2025-01-07 17:00:00+00:00,2,BUY,0.4932497,0.46517676,0.04157351,0.4932497,142.27,141.68,142.3,141.12,22795306.0,3,0.8327867984771729,0.8398849368095398,0.0070981462486088,BUY,none,False,TRANSFORMER
NVDA,2025-01-07 18:00:00+00:00,0,SELL,0.4796532,0.4796532,0.053274695,0.46707207,142.0399,142.2602,143.45,141.91,22033783.0,2,-0.9437656998634338,0.020224280655384,0.9639899730682372,SELL,none,False,TRANSFORMER
NVDA,2025-01-07 19:00:00+00:00,0,SELL,0.5216977,0.5216977,0.06282634,0.41547602,141.25,142.035,142.53,141.08,18749714.0,1,-0.9602789878845216,0.0078870607540011,0.9681660532951356,SELL,none,False,TRANSFORMER
NVDA,2025-01-07 20:00:00+00:00,0,SELL,0.55936307,0.55936307,0.12358364,0.31705332,140.12,141.26,141.58,140.01,41185725.0,2,-0.9672793745994568,0.0074126650579273,0.9746920466423036,SELL,none,False,TRANSFORMER
NVDA,2025-01-07 21:00:00+00:00,0,SELL,0.51051426,0.51051426,0.24488197,0.24460384,141.39,140.12,141.39,140.01,28256408.0,4,-0.9573281407356262,0.0077094067819416,0.9650375247001648,SELL,none,False,TRANSFORMER
NVDA,2025-01-07 22:00:00+00:00,0,SELL,0.40992096,0.40992096,0.36373636,0.22634271,141.2291,141.36,141.58,141.09,917542.0,0,0.0,0.0,0.0,SELL,none,False,TRANSFORMER
NVDA,2025-01-07 23:00:00+00:00,0,SELL,0.41843265,0.41843265,0.20742746,0.3741399,141.45,141.21,141.5,141.0,680952.0,0,0.0,0.0,0.0,SELL,none,False,TRANSFORMER
NVDA,2025-01-08 00:00:00+00:00,0,SELL,0.44948348,0.44948348,0.11815293,0.43236348,141.5999,141.47,141.69,141.3674,747904.0,0,0.0,0.0,0.0,SELL,none,False,TRANSFORMER
NVDA,2025-01-08 09:00:00+00:00,0,SELL,0.44288245,0.44288245,0.13907422,0.4180433,142.65,142.25,142.79,141.75,862591.0,0,0.0,0.0,0.0,SELL,none,False,TRANSFORMER
NVDA,2025-01-08 10:00:00+00:00,0,SELL,0.41745424,0.41745424,0.18460949,0.3979362,142.72,142.65,142.81,142.5,389138.0,1,0.8362705111503601,0.9041292667388916,0.067858763039112,SELL,none,False,TRANSFORMER
NVDA,2025-01-08 11:00:00+00:00,0,SELL,0.42997918,0.42997918,0.16258197,0.4074389,141.7,142.74,142.75,141.01,1164512.0,0,0.0,0.0,0.0,SELL,none,False,TRANSFORMER
NVDA,2025-01-08 12:00:00+00:00,0,SELL,0.45414275,0.45414275,0.098771065,0.4470862,140.58,141.71,141.93,140.0,2160087.0,0,0.0,0.0,0.0,SELL,none,False,TRANSFORMER
NVDA,2025-01-08 13:00:00+00:00,2,BUY,0.4734546,0.461255,0.06529033,0.4734546,142.14,141.8,142.772,140.0415,4549859.0,2,0.9275086522102356,0.939115822315216,0.0116071756929159,BUY,none,False,TRANSFORMER
NVDA,2025-01-08 14:00:00+00:00,2,BUY,0.48705065,0.45468983,0.058259476,0.48705065,143.078,142.1,143.31,140.58,38556779.0,4,-0.5672338008880615,0.2069292515516281,0.7741630673408508,HOLD,none,True,TRANSFORMER
NVDA,2025-01-08 15:00:00+00:00,2,BUY,0.48184532,0.41339713,0.10475755,0.48184532,140.54,143.07,143.95,137.56,45931447.0,3,-0.9208183884620668,0.0256871376186609,0.9465055465698242,HOLD,none,True,TRANSFORMER
NVDA,2025-01-08 16:00:00+00:00,2,BUY,0.4941142,0.43070957,0.075176194,0.4941142,140.385,140.54,140.92,139.43,21691727.0,1,0.0775191113352775,0.0912621095776557,0.0137429991737008,BUY,none,False,TRANSFORMER
NVDA,2025-01-08 17:00:00+00:00,2,BUY,0.4857657,0.42152566,0.0927086,0.4857657,139.43,140.39,140.42,137.89,24623879.0,3,0.8930543661117554,0.90080726146698,0.0077528781257569,BUY,none,False,TRANSFORMER
NVDA,2025-01-08 18:00:00+00:00,2,BUY,0.48963916,0.43384627,0.07651447,0.48963916,140.025,139.44,140.85,139.4,19986217.0,2,-0.729171097278595,0.1031099930405616,0.8322811126708984,HOLD,none,True,TRANSFORMER
NVDA,2025-01-08 19:00:00+00:00,2,BUY,0.45755553,0.4238358,0.118608706,0.45755553,140.14,140.03,141.02,139.56,21377599.0,1,0.8181850910186768,0.8337187767028809,0.0155336605384945,BUY,none,False,TRANSFORMER
NVDA,2025-01-08 20:00:00+00:00,0,SELL,0.37681907,0.37681907,0.3029738,0.32020715,140.06,140.14,140.3,139.7001,19946979.0,2,-0.9617666602134703,0.0097163161262869,0.9714829921722412,HOLD,none,True,TRANSFORMER
NVDA,2025-01-08 21:00:00+00:00,1,HOLD,0.48800227,0.2880267,0.48800227,0.22397107,138.65,140.11,140.6421,137.5901,21699256.0,1,-0.4621601104736328,0.2069421261548996,0.6691022515296936,HOLD,none,False,TRANSFORMER
NVDA,2025-01-08 22:00:00+00:00,1,HOLD,0.33626047,0.33032575,0.33626047,0.33341375,138.93,138.65,139.16,138.5001,3091298.0,0,0.0,0.0,0.0,HOLD,none,False,TRANSFORMER
NVDA,2025-01-08 23:00:00+00:00,0,SELL,0.37274545,0.37274545,0.2773422,0.34991238,138.36,138.91,139.16,138.36,656551.0,0,0.0,0.0,0.0,HOLD,none,True,TRANSFORMER
NVDA,2025-01-09 00:00:00+00:00,0,SELL,0.41724107,0.41724107,0.18054323,0.40221572,138.54,138.39,138.7,138.3,662029.0,0,0.0,0.0,0.0,SELL,none,False,TRANSFORMER
NVDA,2025-01-10 09:00:00+00:00,0,SELL,0.3916288,0.3916288,0.23061486,0.37775642,138.15,139.0,139.0,138.0,706122.0,0,0.0,0.0,0.0,HOLD,none,True,TRANSFORMER
NVDA,2025-01-10 10:00:00+00:00,0,SELL,0.37542978,0.37542978,0.2623077,0.36226255,138.77,138.17,139.18,137.91,596482.0,0,0.0,0.0,0.0,HOLD,none,True,TRANSFORMER
NVDA,2025-01-10 11:00:00+00:00,0,SELL,0.41618615,0.41618615,0.19516285,0.388651,139.11,138.76,139.6,138.3,439114.0,2,-0.9524386525154114,0.0106091145426034,0.963047742843628,SELL,none,False,TRANSFORMER
NVDA,2025-01-10 12:00:00+00:00,0,SELL,0.45380062,0.45380062,0.120287925,0.4259115,138.0,139.06,139.11,137.5,1550860.0,0,0.0,0.0,0.0,SELL,none,False,TRANSFORMER
NVDA,2025-01-10 13:00:00+00:00,0,SELL,0.46991748,0.46991748,0.08224063,0.44784188,136.4894,138.96,139.49,135.33,5987645.0,2,-0.9664371609687804,0.0083936695009469,0.9748308062553406,SELL,none,False,TRANSFORMER
NVDA,2025-01-10 14:00:00+00:00,0,SELL,0.4811881,0.4811881,0.06562241,0.4531895,135.38,136.45,138.07,134.61,39361433.0,3,-0.6851693391799927,0.078255645930767,0.7634249925613403,SELL,none,False,TRANSFORMER
NVDA,2025-01-10 15:00:00+00:00,2,BUY,0.4603033,0.45994222,0.079754464,0.4603033,135.62,135.4,139.92,134.22,41792961.0,2,0.4824529886245727,0.4948641657829284,0.0124111864715814,BUY,none,False,TRANSFORMER
NVDA,2025-01-10 16:00:00+00:00,2,BUY,0.48195052,0.452735,0.06531455,0.48195052,135.08,135.61,136.13,135.0,21754358.0,1,0.9168906211853028,0.928471565246582,0.0115809729322791,BUY,none,False,TRANSFORMER
NVDA,2025-01-10 17:00:00+00:00,2,BUY,0.45831835,0.41882423,0.12285741,0.45831835,136.6538,135.09,136.73,135.03,16245209.0,3,0.2563467025756836,0.6149495244026184,0.3586028218269348,BUY,none,False,TRANSFORMER
NVDA,2025-01-10 18:00:00+00:00,2,BUY,0.43413758,0.42324355,0.14261882,0.43413758,137.06,136.655,137.1099,136.27,15055250.0,1,0.91839599609375,0.9459235668182372,0.0275275763124227,BUY,none,False,TRANSFORMER
NVDA,2025-01-10 19:00:00+00:00,0,SELL,0.43573317,0.43573317,0.21577488,0.34849185,136.22,137.07,137.0816,135.77,14480925.0,3,-0.8602976202964783,0.0420852042734622,0.9023828506469728,SELL,none,False,TRANSFORMER
NVDA,2025-01-10 20:00:00+00:00,0,SELL,0.42222273,0.42222273,0.29100817,0.28676915,135.86,136.22,136.4667,135.42,22509555.0,0,0.0,0.0,0.0,SELL,none,False,TRANSFORMER
NVDA,2025-01-10 21:00:00+00:00,1,HOLD,0.38205448,0.36695942,0.38205448,0.25098616,135.9999,135.86,136.09,135.82,26105470.0,0,0.0,0.0,0.0,HOLD,none,False,TRANSFORMER
NVDA,2025-01-10 22:00:00+00:00,1,HOLD,0.4926307,0.29177138,0.4926307,0.21559791,135.81,135.99,136.05,135.81,284916.0,0,0.0,0.0,0.0,HOLD,none,False,TRANSFORMER
NVDA,2025-01-10 23:00:00+00:00,0,SELL,0.33931166,0.33931166,0.32683223,0.33385608,135.77,135.8,135.83,135.72,426675.0,0,0.0,0.0,0.0,HOLD,none,True,TRANSFORMER
NVDA,2025-01-11 00:00:00+00:00,2,BUY,0.3655813,0.36347577,0.27094302,0.3655813,135.61,135.8,135.8,135.6,303943.0,0,0.0,0.0,0.0,HOLD,none,True,TRANSFORMER
NVDA,2025-01-13 09:00:00+00:00,0,SELL,0.36773026,0.36773026,0.28800324,0.3442665,131.95,133.2,134.31,131.67,1865728.0,0,0.0,0.0,0.0,HOLD,none,True,TRANSFORMER
NVDA,2025-01-13 10:00:00+00:00,0,SELL,0.36578268,0.36578268,0.29475436,0.33946294,131.7,131.99,132.13,131.45,1243386.0,0,0.0,0.0,0.0,HOLD,none,True,TRANSFORMER
NVDA,2025-01-13 11:00:00+00:00,0,SELL,0.3964498,0.3964498,0.22251144,0.3810388,131.7,131.67,131.96,131.36,1164952.0,1,-0.9666417241096495,0.0071593257598578,0.9738010764122008,HOLD,none,True,TRANSFORMER
