symbol,timestamp,close,open,high,low,volume,raw_pred,confidence,sentiment_score,fused_signal,was_overridden,override_reason,model
JPM,2025-01-02 10:00:00+00:00,240.78,240.52,240.78,240.52,479.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-02 12:00:00+00:00,241.53,241.92,242.09,241.53,2297.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-02 13:00:00+00:00,241.35,241.72,242.15,241.11,5974.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-02 14:00:00+00:00,243.03,241.12,243.276,240.29,872155.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-02 15:00:00+00:00,242.11,243.09,243.19,240.62,977440.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-02 16:00:00+00:00,241.99,241.95,242.62,240.55,621358.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-02 17:00:00+00:00,240.3801,242.04,242.5,239.515,608510.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-02 18:00:00+00:00,240.025,240.4,240.4472,239.45,563841.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-02 19:00:00+00:00,240.3,240.025,240.88,239.79,611576.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-02 20:00:00+00:00,239.99,240.33,241.605,239.93,1606254.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-02 21:00:00+00:00,240.0,240.0,240.5,240.0,2404431.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-02 22:00:00+00:00,240.5,240.51,240.67,240.5,826.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-02 23:00:00+00:00,240.29,240.25,240.85,240.25,1917.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-03 00:00:00+00:00,240.46,240.41,241.5,240.41,2459.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-03 09:00:00+00:00,242.23,241.66,242.23,241.66,1200.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-03 10:00:00+00:00,242.0,242.94,242.94,242.0,2103.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-03 11:00:00+00:00,242.37,241.94,242.74,241.94,1290.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-03 12:00:00+00:00,242.0,242.15,242.28,241.79,1407.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-03 13:00:00+00:00,241.83,242.13,242.85,240.68,11528.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-03 14:00:00+00:00,241.33,241.99,244.88,241.17,1060207.0,BUY,1.0,-0.0615298338234424,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-03 15:00:00+00:00,241.905,241.35,242.03,240.26,1131651.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-03 16:00:00+00:00,241.515,241.96,242.15,241.07,842313.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-03 17:00:00+00:00,241.64,241.52,241.78,241.26,593926.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-03 18:00:00+00:00,241.51,241.64,241.7381,241.01,638000.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-03 19:00:00+00:00,241.61,241.51,242.12,241.465,724515.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-03 20:00:00+00:00,243.28,241.56,243.396,241.37,1531889.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-03 21:00:00+00:00,243.0116,243.28,243.35,243.0116,2732057.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-03 22:00:00+00:00,243.24,243.24,243.24,243.24,710.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-03 23:00:00+00:00,243.2,243.2,243.2,243.2,200.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-06 09:00:00+00:00,243.43,243.6,243.65,243.29,2229.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-06 10:00:00+00:00,243.16,243.3,243.3,243.0,1637.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-06 11:00:00+00:00,243.39,243.0,243.39,243.0,1690.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-06 12:00:00+00:00,243.99,243.26,244.13,243.24,4672.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-06 13:00:00+00:00,244.0,243.28,244.25,242.5,9443.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-06 14:00:00+00:00,243.63,243.95,245.01,240.84,1509534.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-06 15:00:00+00:00,242.1339,243.63,243.93,241.91,1085409.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-06 16:00:00+00:00,244.61,242.17,245.69,241.7669,1476877.0,BUY,1.0,-0.0602002441883087,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-06 17:00:00+00:00,243.14,244.64,244.64,243.01,719869.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-06 18:00:00+00:00,242.258,243.23,243.32,242.16,653119.0,BUY,1.0,0.8541975021362305,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-06 19:00:00+00:00,241.325,242.29,242.43,241.32,761435.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-06 20:00:00+00:00,240.98,241.29,241.79,240.58,1541619.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-06 21:00:00+00:00,241.0399,240.85,241.52,240.85,1789064.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-06 22:00:00+00:00,241.04,241.04,241.04,241.04,305.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-06 23:00:00+00:00,241.3399,241.5,241.5,241.3399,699.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-07 00:00:00+00:00,241.12,241.29,241.29,241.12,1009.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-07 11:00:00+00:00,241.72,241.72,241.72,241.72,502.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-07 12:00:00+00:00,242.04,241.76,242.05,241.76,1691.0,BUY,1.0,0.6258741021156311,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-07 13:00:00+00:00,241.99,241.8,242.35,241.61,14134.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-07 14:00:00+00:00,241.92,242.01,243.8,241.07,891387.0,BUY,1.0,0.0084598995745182,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-07 15:00:00+00:00,244.26,241.92,244.3,240.9,1423777.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-07 16:00:00+00:00,244.55,244.275,245.23,244.0,1100722.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-07 17:00:00+00:00,244.61,244.51,245.26,244.318,894963.0,BUY,1.0,0.1462303549051284,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-07 18:00:00+00:00,244.515,244.63,245.205,244.3905,669274.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-07 19:00:00+00:00,243.96,244.4873,244.675,243.45,747128.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-07 20:00:00+00:00,243.23,244.0099,244.0099,242.37,1284493.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-07 21:00:00+00:00,243.25,243.23,243.29,243.16,1642006.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-08 00:00:00+00:00,243.13,243.13,243.13,243.13,102.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-08 09:00:00+00:00,243.5,243.94,243.94,243.5,1914.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-08 11:00:00+00:00,242.69,243.74,243.74,242.69,436.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-08 12:00:00+00:00,242.06,242.39,242.39,241.97,1363.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-08 13:00:00+00:00,243.11,242.51,243.47,241.78,7589.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-08 14:00:00+00:00,240.985,243.34,244.25,240.9,959479.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-08 15:00:00+00:00,242.13,240.955,242.35,240.5,1091786.0,BUY,1.0,-0.8769294023513794,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-08 16:00:00+00:00,242.745,242.13,243.0,241.53,1139210.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-08 17:00:00+00:00,242.26,242.745,242.878,241.82,513376.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-08 18:00:00+00:00,242.46,242.235,242.88,242.14,569095.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-08 19:00:00+00:00,242.46,242.46,243.28,242.22,634133.0,BUY,1.0,-0.2305866032838821,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-08 20:00:00+00:00,243.04,242.46,243.42,242.26,1339298.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-08 21:00:00+00:00,243.13,243.13,243.24,243.1,1315485.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-09 00:00:00+00:00,243.66,243.66,243.66,243.66,109.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-10 09:00:00+00:00,242.06,242.11,242.11,242.06,250.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-10 12:00:00+00:00,242.5,242.7,242.8,242.5,1424.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-10 13:00:00+00:00,240.96,242.71,242.8,240.4698,30410.0,BUY,1.0,-0.948213756084442,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-10 14:00:00+00:00,241.15,240.9,243.81,240.5,1620279.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-10 15:00:00+00:00,239.74,241.02,241.405,239.4,1629116.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-10 16:00:00+00:00,239.26,239.75,240.0,239.16,852802.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-10 17:00:00+00:00,240.5,239.24,240.67,238.74,660602.0,BUY,1.0,-0.0348262824118137,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-10 18:00:00+00:00,241.28,240.49,241.35,240.18,581523.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-10 19:00:00+00:00,240.3699,241.331,241.331,239.78,786405.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-10 20:00:00+00:00,239.92,240.34,240.39,239.25,1578930.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-10 21:00:00+00:00,239.89,239.87,239.97,239.6,2086758.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-01-10 22:00:00+00:00,239.82,239.95,239.9999,239.82,42538.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
