symbol,timestamp,raw_pred_num,raw_pred,confidence,prob_sell,prob_hold,prob_buy,close,open,high,low,volume,news_count,sentiment_score,sentiment_positive,sentiment_negative,fused_signal,override_reason,was_overridden,model
NVDA,2025-01-07 00:00:00+00:00,2,BUY,0.44085938,0.34940732,0.20973329,0.44085938,150.2802,150.28,150.48,150.15,652435.0,0,0.0,0.0,0.0,BUY,none,False,LSTM
NVDA,2025-01-07 09:00:00+00:00,2,BUY,0.38998812,0.35037974,0.25963208,0.38998812,151.49,150.47,152.13,146.45,1493885.0,0,0.0,0.0,0.0,HOLD,none,True,LSTM
NVDA,2025-01-07 10:00:00+00:00,2,BUY,0.41914153,0.40038973,0.18046877,0.41914153,152.27,151.48,152.29,151.3,688489.0,2,0.2786552011966705,0.287973016500473,0.0093178255483508,BUY,none,False,LSTM
NVDA,2025-01-07 11:00:00+00:00,0,SELL,0.4746581,0.4746581,0.092649885,0.43269208,152.4,152.27,152.57,151.95,1036537.0,2,0.8305646181106567,0.901274025440216,0.0707094147801399,SELL,none,False,LSTM
NVDA,2025-01-07 12:00:00+00:00,0,SELL,0.50797945,0.50797945,0.06506569,0.4269549,153.11,152.4,153.66,152.06,2698582.0,3,0.8437319993972778,0.8506462574005127,0.0069142472930252,SELL,none,False,LSTM
NVDA,2025-01-07 13:00:00+00:00,0,SELL,0.519454,0.519454,0.05349274,0.42705318,152.9799,152.35,153.66,148.01,6184781.0,4,0.9273589253425598,0.938161551952362,0.0108026377856731,SELL,none,False,LSTM
NVDA,2025-01-07 14:00:00+00:00,0,SELL,0.5198338,0.5198338,0.044746123,0.43542004,146.26,152.98,153.74,145.59,61838949.0,2,0.7886556386947632,0.7994655966758728,0.0108099421486258,SELL,none,False,LSTM
NVDA,2025-01-07 15:00:00+00:00,0,SELL,0.5127163,0.5127163,0.045870792,0.44141293,142.695,146.23,146.49,140.44,92664046.0,5,-0.279913067817688,0.3207123875617981,0.6006254553794861,SELL,none,False,LSTM
NVDA,2025-01-07 16:00:00+00:00,0,SELL,0.5007002,0.5007002,0.049950846,0.4493489,141.675,142.7112,143.11,141.0,49809571.0,3,0.8546072244644165,0.8991111516952515,0.044503916054964,SELL,none,False,LSTM
NVDA,2025-01-07 17:00:00+00:00,0,SELL,0.5062912,0.5062912,0.05167698,0.44203186,142.27,141.68,142.3,141.12,22795306.0,3,0.8327867984771729,0.8398849368095398,0.0070981462486088,SELL,none,False,LSTM
NVDA,2025-01-07 18:00:00+00:00,0,SELL,0.5224691,0.5224691,0.056385614,0.42114523,142.0399,142.2602,143.45,141.91,22033783.0,2,-0.9437656998634338,0.020224280655384,0.9639899730682372,SELL,none,False,LSTM
NVDA,2025-01-07 19:00:00+00:00,0,SELL,0.60030806,0.60030806,0.07100449,0.32868746,141.25,142.035,142.53,141.08,18749714.0,1,-0.9602789878845216,0.0078870607540011,0.9681660532951356,SELL,none,False,LSTM
NVDA,2025-01-07 20:00:00+00:00,0,SELL,0.6019128,0.6019128,0.15186523,0.24622199,140.12,141.26,141.58,140.01,41185725.0,2,-0.9672793745994568,0.0074126650579273,0.9746920466423036,SELL,none,False,LSTM
NVDA,2025-01-07 21:00:00+00:00,0,SELL,0.5073384,0.5073384,0.21935041,0.27331126,141.39,140.12,141.39,140.01,28256408.0,4,-0.9573281407356262,0.0077094067819416,0.9650375247001648,SELL,none,False,LSTM
NVDA,2025-01-07 22:00:00+00:00,0,SELL,0.40266925,0.40266925,0.24560161,0.35172912,141.2291,141.36,141.58,141.09,917542.0,0,0.0,0.0,0.0,SELL,none,False,LSTM
NVDA,2025-01-07 23:00:00+00:00,2,BUY,0.45256567,0.37089437,0.1765399,0.45256567,141.45,141.21,141.5,141.0,680952.0,0,0.0,0.0,0.0,BUY,none,False,LSTM
NVDA,2025-01-08 00:00:00+00:00,2,BUY,0.4705647,0.37701043,0.15242487,0.4705647,141.5999,141.47,141.69,141.3674,747904.0,0,0.0,0.0,0.0,BUY,none,False,LSTM
NVDA,2025-01-08 09:00:00+00:00,2,BUY,0.4287266,0.3830017,0.18827172,0.4287266,142.65,142.25,142.79,141.75,862591.0,0,0.0,0.0,0.0,BUY,none,False,LSTM
NVDA,2025-01-08 10:00:00+00:00,2,BUY,0.40584293,0.38661695,0.20754011,0.40584293,142.72,142.65,142.81,142.5,389138.0,1,0.8362705111503601,0.9041292667388916,0.067858763039112,BUY,none,False,LSTM
